id;name;author_id;genre_id;year
1;Ruslan and Ludmila;1;4;1820
2;Story about the fisherman and golden fish;1;1;1835
3;Borodino;2;4;1837
4;Harry Potter;3;5;1997
5;Percy Jackson;4;5; 2005
6;The adventures of Sherlock Holmes;5;2;1892
7;Murder on the Orient Express;6;2;1934
8;Cards on the Table;6;2;1936
9;Anna Karenina;7;3;1877
10;Pride and Prejudice;8;3;1813
11;Emma;8;3;1815
